Time [s],Value
1.027197750000000,0b  0000  0000  0000  0101
1.027198750000000,0b  0000  0000  0000  0111
1.027199812500000,0b  0000  0000  0000  0111
1.027201000000000,0b  0000  0000  0000  0101
1.027201875000000,0b  0000  0000  0000  0111
1.027202875000000,0b  0000  0000  0000  0101
1.027203750000000,0b  0000  0000  0000  0111
1.027204750000000,0b  0000  0000  0000  0111
1.027205750000000,0b  0000  0000  0000  0101
1.027206750000000,0b  0000  0000  0000  0111
1.027207937500000,0b  0000  0000  0000  0111
1.027208937500000,0b  0000  0000  0000  0111
1.027209937500000,0b  0000  0000  0000  0111
1.027210937500000,0b  0000  0000  0000  0111
1.027211937500000,0b  0000  0000  0000  0101
1.027212937500000,0b  0000  0000  0000  0111
1.027213937500000,0b  0000  0000  0000  0111
1.027214937500000,0b  0000  0000  0000  0101
1.027215937500000,0b  0000  0000  0000  0101
1.027216875000000,0b  0000  0000  0000  0111
1.027217875000000,0b  0000  0000  0000  0101
1.027218875000000,0b  0000  0000  0000  0111
1.027219875000000,0b  0000  0000  0000  0101
1.027220750000000,0b  0000  0000  0000  0111
1.027221750000000,0b  0000  0000  0000  0101
1.027222750000000,0b  0000  0000  0000  0111
1.027224125000000,0b  0000  0000  0000  0111
1.027225250000000,0b  0000  0000  0000  0111
1.027226250000000,0b  0000  0000  0000  0101
1.027227250000000,0b  0000  0000  0000  0101
1.027228250000000,0b  0000  0000  0000  0101
1.027228812500000,0b  0000  0000  0000  0111
1.027229812500000,0b  0000  0000  0000  0111
1.027231125000000,0b  0000  0000  0000  0111
1.027232062500000,0b  0000  0000  0000  0111
1.027233062500000,0b  0000  0000  0000  0111
1.027234062500000,0b  0000  0000  0000  0111
1.027235062500000,0b  0000  0000  0000  0111
1.027236000000000,0b  0000  0000  0000  0101
1.027237000000000,0b  0000  0000  0000  0101
1.027238000000000,0b  0000  0000  0000  0101
1.027239000000000,0b  0000  0000  0000  0101
1.027239937500000,0b  0000  0000  0000  0111
1.027240937500000,0b  0000  0000  0000  0101
